term,frequency
visual,31
online,30
databases,29
images,29
media,29
web,29
internet,27
design,25
digital,25
blogs,24
electronic,24
google,24
television,23
charts,22
presentations,22
wikipedia,22
sound,21
speech,21
video,21
presentation,20
searches,20
sites,20
art,19
engines,19
white,19
clustering,18
photographs,18
software,18
visuals,18
facebook,17
film,17
maps,17
multimedia,17
oral,17
twitter,17
multimodal,16
audio,16
mapping,16
music,16
websites,16
boolean,15
cartoons,15
color,15
database,15
films,15
fonts,15
graphs,15
prezi,15
powerpoint,15
radio,15
